team,odds_american,odds_decimal,implied_prob_raw,implied_prob_normalized
France,450,5.5000,0.181818,0.137030
Spain,500,6.0000,0.166667,0.125611
England,700,8.0000,0.125000,0.094208
Brazil,800,9.0000,0.111111,0.083741
Argentina,800,9.0000,0.111111,0.083741
Portugal,1000,11.0000,0.090909,0.068515
Germany,1400,15.0000,0.066667,0.050244
Netherlands,2000,21.0000,0.047619,0.035889
Morocco,2500,26.0000,0.038462,0.028987
Mexico,2800,29.0000,0.034483,0.025988
Colombia,3000,31.0000,0.032258,0.024312
Japan,3000,31.0000,0.032258,0.024312
Belgium,3500,36.0000,0.027778,0.020935
United States,4000,41.0000,0.024390,0.018382
Croatia,4500,46.0000,0.021739,0.016384
Uruguay,5000,51.0000,0.019608,0.014778
Switzerland,5000,51.0000,0.019608,0.014778
Ecuador,6000,61.0000,0.016393,0.012355
Norway,6500,66.0000,0.015152,0.011419
Korea Republic,7000,71.0000,0.014085,0.010615
Canada,7000,71.0000,0.014085,0.010615
Sweden,9000,91.0000,0.010989,0.008282
Turkey,9000,91.0000,0.010989,0.008282
Austria,10000,101.0000,0.009901,0.007462
Australia,10000,101.0000,0.009901,0.007462
Senegal,12000,121.0000,0.008264,0.006229
Scotland,15000,151.0000,0.006623,0.004991
Ivory Coast,15000,151.0000,0.006623,0.004991
Iran,15000,151.0000,0.006623,0.004991
Paraguay,20000,201.0000,0.004975,0.003750
Czechia,20000,201.0000,0.004975,0.003750
Congo DR,25000,251.0000,0.003984,0.003003
Egypt,25000,251.0000,0.003984,0.003003
Algeria,25000,251.0000,0.003984,0.003003
Ghana,30000,301.0000,0.003322,0.002504
Saudi Arabia,30000,301.0000,0.003322,0.002504
Bosnia and Herzegovina,35000,351.0000,0.002849,0.002147
South Africa,40000,401.0000,0.002494,0.001879
Tunisia,40000,401.0000,0.002494,0.001879
Iraq,50000,501.0000,0.001996,0.001504
Uzbekistan,60000,601.0000,0.001664,0.001254
Cabo Verde,80000,801.0000,0.001248,0.000941
Qatar,80000,801.0000,0.001248,0.000941
Jordan,100000,1001.0000,0.000999,0.000753
Panama,100000,1001.0000,0.000999,0.000753
New Zealand,200000,2001.0000,0.000500,0.000377
Haiti,200000,2001.0000,0.000500,0.000377
Curacao,500000,5001.0000,0.000200,0.000151
