team,group,confederation,fifa_rank,fifa_pts,is_host,historical_name
France,I,UEFA,1,1877.0,False,France
Spain,H,UEFA,2,1876.0,False,Spain
Argentina,J,CONMEBOL,3,1840.0,False,Argentina
England,L,UEFA,4,1810.0,False,England
Portugal,K,UEFA,5,1800.0,False,Portugal
Brazil,C,CONMEBOL,6,1790.0,False,Brazil
Netherlands,F,UEFA,7,1755.0,False,Netherlands
Germany,E,UEFA,8,1743.0,False,Germany
Belgium,G,UEFA,9,1730.0,False,Belgium
Croatia,L,UEFA,10,1720.0,False,Croatia
Colombia,K,CONMEBOL,11,1680.0,False,Colombia
Morocco,C,CAF,14,1640.0,False,Morocco
Mexico,A,CONCACAF,15,1620.0,True,Mexico
United States,D,CONCACAF,16,1610.0,True,United States
Switzerland,B,UEFA,17,1600.0,False,Switzerland
Uruguay,H,CONMEBOL,19,1560.0,False,Uruguay
Senegal,I,CAF,21,1520.0,False,Senegal
Japan,F,AFC,22,1510.0,False,Japan
Korea Republic,A,AFC,23,1500.0,False,South Korea
Australia,D,AFC,24,1490.0,False,Australia
Iran,G,AFC,27,1460.0,False,IR Iran
Turkey,D,UEFA,28,1450.0,False,Turkey
Austria,J,UEFA,26,1470.0,False,Austria
Norway,I,UEFA,30,1430.0,False,Norway
Canada,B,CONCACAF,31,1420.0,True,Canada
Sweden,F,UEFA,35,1380.0,False,Sweden
Scotland,C,UEFA,38,1350.0,False,Scotland
Czechia,A,UEFA,40,1330.0,False,Czech Republic
Ecuador,E,CONMEBOL,42,1310.0,False,Ecuador
Ivory Coast,E,CAF,44,1290.0,False,Ivory Coast
Paraguay,D,CONMEBOL,49,1255.0,False,Paraguay
Egypt,G,CAF,51,1245.0,False,Egypt
Congo DR,K,CAF,47,1270.0,False,DR Congo
Saudi Arabia,H,AFC,57,1200.0,False,Saudi Arabia
Uzbekistan,K,AFC,55,1215.0,False,Uzbekistan
Algeria,J,CAF,58,1185.0,False,Algeria
Tunisia,F,CAF,54,1220.0,False,Tunisia
Cabo Verde,H,CAF,63,1155.0,False,Cape Verde
South Africa,A,CAF,65,1140.0,False,South Africa
Ghana,L,CAF,64,1148.0,False,Ghana
Bosnia and Herzegovina,B,UEFA,70,1108.0,False,Bosnia-Herzegovina
Iraq,I,AFC,68,1120.0,False,Iraq
Qatar,B,AFC,72,1098.0,False,Qatar
Jordan,J,AFC,73,1093.0,False,Jordan
Panama,L,CONCACAF,78,1060.0,False,Panama
New Zealand,G,OFC,95,950.0,False,New Zealand
Haiti,C,CONCACAF,85,1000.0,False,Haiti
Curacao,E,CONCACAF,90,970.0,False,Curacao
