year,home,away,home_score,away_score,model,p_home_win,p_draw,p_away_win,brier,log_loss,correct
2010,South Africa,Mexico,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,South Africa,Mexico,1,1,elo,0.1731,0.196,0.6309,1.07436,1.62962,0
2010,South Africa,Mexico,1,1,form,0.1402,0.1805,0.6793,1.15272,1.71212,0
2010,South Africa,Mexico,1,1,tournament,0.1842,0.2011,0.6147,1.05012,1.60415,0
2010,South Africa,Mexico,1,1,combined_default,0.1644,0.1918,0.6438,1.0946,1.65111,0
2010,South Africa,Mexico,1,1,combined_optimized,0.1467,0.1835,0.6698,1.13681,1.69549,0
2010,Uruguay,France,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Uruguay,France,0,0,elo,0.3111,0.2597,0.4292,0.82914,1.34841,0
2010,Uruguay,France,0,0,form,0.3021,0.2551,0.4427,0.84209,1.36591,0
2010,Uruguay,France,0,0,tournament,0.2871,0.2479,0.465,0.86434,1.39481,0
2010,Uruguay,France,0,0,combined_default,0.302,0.2551,0.4429,0.84217,1.36597,0
2010,Uruguay,France,0,0,combined_optimized,0.2999,0.2541,0.446,0.84527,1.37011,0
2010,Argentina,Nigeria,1,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Argentina,Nigeria,1,0,elo,0.3659,0.2819,0.3522,0.60564,1.00545,1
2010,Argentina,Nigeria,1,0,form,0.4166,0.2639,0.3195,0.51209,0.87565,1
2010,Argentina,Nigeria,1,0,tournament,0.4421,0.2554,0.3026,0.46805,0.8163,1
2010,Argentina,Nigeria,1,0,combined_default,0.4027,0.269,0.3284,0.53696,0.90962,1
2010,Argentina,Nigeria,1,0,combined_optimized,0.4203,0.2627,0.317,0.50549,0.8667,1
2010,England,United States,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,England,United States,1,1,elo,0.5165,0.2315,0.252,0.92084,1.46309,0
2010,England,United States,1,1,form,0.6015,0.2052,0.1933,1.03095,1.58392,0
2010,England,United States,1,1,tournament,0.629,0.1966,0.1744,1.07146,1.62658,0
2010,England,United States,1,1,combined_default,0.5744,0.2136,0.2121,0.99335,1.5438,0
2010,England,United States,1,1,combined_optimized,0.6056,0.2039,0.1905,1.03676,1.59008,0
2010,South Korea,Greece,2,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,South Korea,Greece,2,0,elo,0.4622,0.2488,0.289,0.43469,0.77181,1
2010,South Korea,Greece,2,0,form,0.5126,0.2327,0.2546,0.35656,0.66823,1
2010,South Korea,Greece,2,0,tournament,0.5992,0.2059,0.1949,0.24104,0.51218,1
2010,South Korea,Greece,2,0,combined_default,0.5141,0.2324,0.2535,0.35439,0.66537,1
2010,South Korea,Greece,2,0,combined_optimized,0.5253,0.2288,0.2459,0.33809,0.64369,1
2010,Algeria,Slovenia,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Algeria,Slovenia,0,1,elo,0.3352,0.2723,0.3925,0.55551,0.93514,1
2010,Algeria,Slovenia,0,1,form,0.3209,0.2647,0.4144,0.51592,0.88085,1
2010,Algeria,Slovenia,0,1,tournament,0.4614,0.249,0.2896,0.77957,1.2393,0
2010,Algeria,Slovenia,0,1,combined_default,0.3617,0.2638,0.3745,0.59175,0.98227,1
2010,Algeria,Slovenia,0,1,combined_optimized,0.3416,0.2624,0.3961,0.55024,0.92617,1
2010,Germany,Australia,4,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Germany,Australia,4,0,elo,0.4721,0.2456,0.2823,0.41874,0.75063,1
2010,Germany,Australia,4,0,form,0.5055,0.235,0.2595,0.36714,0.68226,1
2010,Germany,Australia,4,0,tournament,0.6208,0.1992,0.1801,0.21592,0.47681,1
2010,Germany,Australia,4,0,combined_default,0.5209,0.2303,0.2488,0.34443,0.65213,1
2010,Germany,Australia,4,0,combined_optimized,0.5224,0.2297,0.2479,0.34227,0.64926,1
2010,Serbia,Ghana,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Serbia,Ghana,0,1,elo,0.4685,0.2467,0.2847,0.79201,1.2562,0
2010,Serbia,Ghana,0,1,form,0.5347,0.2259,0.2395,0.91527,1.4293,0
2010,Serbia,Ghana,0,1,tournament,0.4158,0.2642,0.32,0.705,1.13931,0
2010,Serbia,Ghana,0,1,combined_default,0.4785,0.2438,0.2777,0.81007,1.28114,0
2010,Serbia,Ghana,0,1,combined_optimized,0.5172,0.2315,0.2513,0.88157,1.381,0
2010,Italy,Paraguay,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Italy,Paraguay,1,1,elo,0.5797,0.2119,0.2084,1.0005,1.55148,0
2010,Italy,Paraguay,1,1,form,0.6005,0.2055,0.194,1.02943,1.58231,0
2010,Italy,Paraguay,1,1,tournament,0.664,0.1855,0.1506,1.12698,1.68487,0
2010,Italy,Paraguay,1,1,combined_default,0.608,0.2031,0.1889,1.04048,1.59423,0
2010,Italy,Paraguay,1,1,combined_optimized,0.6098,0.2026,0.1877,1.04298,1.59675,0
2010,Japan,Cameroon,1,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Japan,Cameroon,1,0,elo,0.3324,0.2707,0.3969,0.67652,1.10146,0
2010,Japan,Cameroon,1,0,form,0.3419,0.276,0.3821,0.65524,1.07319,0
2010,Japan,Cameroon,1,0,tournament,0.3132,0.2607,0.4261,0.72117,1.16085,0
2010,Japan,Cameroon,1,0,combined_default,0.3309,0.2701,0.399,0.67979,1.10585,0
2010,Japan,Cameroon,1,0,combined_optimized,0.3377,0.2737,0.3886,0.66456,1.08561,0
