team,elo,group,confederation,fifa_rank,fifa_pts,elo_rank
Spain,2186.1,H,UEFA,2,1876.0,1
Argentina,2131.9,J,CONMEBOL,3,1840.0,2
France,2114.6,I,UEFA,1,1877.0,3
England,2092.5,L,UEFA,4,1810.0,4
Ecuador,2022.6,E,CONMEBOL,42,1310.0,5
Colombia,2014.2,K,CONMEBOL,11,1680.0,6
Brazil,2012.9,C,CONMEBOL,6,1790.0,7
Netherlands,1990.7,F,UEFA,7,1755.0,8
Japan,1984.8,F,AFC,22,1510.0,9
Morocco,1972.0,C,CAF,14,1640.0,10
Germany,1970.7,E,UEFA,8,1743.0,11
Portugal,1964.4,K,UEFA,5,1800.0,12
Croatia,1957.1,L,UEFA,10,1720.0,13
Uruguay,1955.8,H,CONMEBOL,19,1560.0,14
Norway,1954.2,I,UEFA,30,1430.0,15
Turkey,1945.5,D,UEFA,28,1450.0,16
Mexico,1943.3,A,CONCACAF,15,1620.0,17
Paraguay,1942.9,D,CONMEBOL,49,1255.0,18
Belgium,1926.4,G,UEFA,9,1730.0,19
Switzerland,1923.4,B,UEFA,17,1600.0,20
Australia,1915.6,D,AFC,24,1490.0,21
Korea Republic,1903.5,A,AFC,23,1500.0,22
Senegal,1898.1,I,CAF,21,1520.0,23
Iran,1887.7,G,AFC,27,1460.0,24
Canada,1871.6,B,CONCACAF,31,1420.0,25
Panama,1862.0,L,CONCACAF,78,1060.0,26
Uzbekistan,1842.1,K,AFC,55,1215.0,27
Scotland,1829.8,C,UEFA,38,1350.0,28
United States,1828.5,D,CONCACAF,16,1610.0,29
Algeria,1826.3,J,CAF,58,1185.0,30
Austria,1823.1,J,UEFA,26,1470.0,31
Tunisia,1816.5,F,CAF,54,1220.0,32
New Zealand,1795.3,G,OFC,95,950.0,33
Egypt,1788.6,G,CAF,51,1245.0,34
Iraq,1783.4,I,AFC,68,1120.0,35
Jordan,1780.5,J,AFC,73,1093.0,36
Ivory Coast,1777.7,E,CAF,44,1290.0,37
Congo DR,1771.0,K,CAF,47,1270.0,38
Czechia,1730.6,A,UEFA,40,1330.0,39
Haiti,1718.2,C,CONCACAF,85,1000.0,40
Sweden,1707.0,F,UEFA,35,1380.0,41
Saudi Arabia,1701.5,H,AFC,57,1200.0,42
Ghana,1701.0,L,CAF,64,1148.0,43
Cabo Verde,1677.4,H,CAF,63,1155.0,44
Bosnia and Herzegovina,1633.9,B,UEFA,70,1108.0,45
South Africa,1621.0,A,CAF,65,1140.0,46
Qatar,1616.1,B,AFC,72,1098.0,47
Curacao,1500.0,E,CONCACAF,90,970.0,48
